id,logtime,interactionid
151932087002387631,2018-02-22 18:34:22.603,834518604693079682
151932090000726028,2018-02-22 18:34:36.083,5755442563191175382
151932090001156115,2018-02-22 18:34:40.936,4372798187305856947
151932090001514804,2018-02-22 18:34:44.121,7423743294011017903
151932090001661204,2018-02-22 18:34:46.293,314705784042951558
151932090002800113,2018-02-22 18:34:49.872,2887952071644990176
151932093000333245,2018-02-22 18:35:03.207,6965587996623744350
151932093001386605,2018-02-22 18:35:13.146,5392452915220503384
151932093001510012,2018-02-22 18:35:13.310,1636924780797468147
151932093001824906,2018-02-22 18:35:19.399,1516955781315679746
151932093002386320,2018-02-22 18:35:22.500,1378176327872997407
151932096000689601,2018-02-22 18:35:36.122,3132471576542215493
151932096001178613,2018-02-22 18:35:41.282,7937405728557249388
151932096001163701,2018-02-22 18:35:42.002,5095873082788207073
151932096001603619,2018-02-22 18:35:44.982,5597588858837409144
151932096001674220,2018-02-22 18:35:46.756,4404534269432031413
151932096002052420,2018-02-22 18:35:50.288,4064522082541386650
151932096002647648,2018-02-22 18:35:54.061,8635277294312551359
151932096002975420,2018-02-22 18:35:59.938,8606644659190191674
151932099000432620,2018-02-22 18:36:04.846,1705411667959113538
151932099000491745,2018-02-22 18:36:05.597,3130279519943646645
151932099002967213,2018-02-22 18:36:28.136,7991184863877146966
151932099002914616,2018-02-22 18:36:28.249,3652687095946970132
151932102000549916,2018-02-22 18:36:36.170,4944709886281554891
151932102000556816,2018-02-22 18:36:36.245,7422521886285644651
151932102001007916,2018-02-22 18:36:39.451,6425591018364265813
151932102001088016,2018-02-22 18:36:39.711,9189985978963138940
151932102001638716,2018-02-22 18:36:46.548,5283782160715751686
151932102002399109,2018-02-22 18:36:52.502,2458919901775390294
151932105000080128,2018-02-22 18:37:01.793,6039008190347486830
151932105000950231,2018-02-22 18:37:09.344,966016746325054366
151932105001139348,2018-02-22 18:37:09.923,6402302100975628551
151932105001468542,2018-02-22 18:37:14.681,8496234520826829637
151932105001903334,2018-02-22 18:37:18.911,6579131038816557263
151932105002258445,2018-02-22 18:37:20.094,1706987429217492184
151932108000113801,2018-02-22 18:37:31.433,6283773746951512284
151932108000810208,2018-02-22 18:37:38.341,5510529023768094658
151932108001678934,2018-02-22 18:37:45.858,8992458682437088927
151932111000035841,2018-02-22 18:38:01.540,7942671904124404395
151932111000428836,2018-02-22 18:38:04.265,3321433329261166998
151932111000861228,2018-02-22 18:38:08.038,9148289142087877275
151932111000933945,2018-02-22 18:38:09.328,6601217646401226420
151932111002874638,2018-02-22 18:38:26.557,5639891315380326846
151932111003059143,2018-02-22 18:38:29.479,2678799921146212053
151932114001211912,2018-02-22 18:38:42.054,3561131299332987067
151932114001390832,2018-02-22 18:38:43.435,6908066601562962446
151932114001788137,2018-02-22 18:38:46.509,2647996872956680457
151932114002851420,2018-02-22 18:38:57.633,2181569585353545582
151932117000422747,2018-02-22 18:39:04.201,8101890680025782105
151932117000874245,2018-02-22 18:39:08.674,6670001924776847199
151932117000886240,2018-02-22 18:39:09.135,5151161227885477564
151932117001076707,2018-02-22 18:39:10.257,1862904546343318999
151932117001211209,2018-02-22 18:39:12.030,6330778367250352965
151932117001884547,2018-02-22 18:39:17.530,6435326426476552301
151932117002337820,2018-02-22 18:39:21.718,7976449308814786952
151932117002927947,2018-02-22 18:39:27.210,4496987489488887682
151932120000503117,2018-02-22 18:39:34.984,2610503336173139160
151932120000620653,2018-02-22 18:39:36.197,5497298144149755999
151932120000520016,2018-02-22 18:39:36.594,4199384288920012929
151932120000774311,2018-02-22 18:39:37.214,8772144825741100003
151932120000913346,2018-02-22 18:39:38.901,2016401016667054555
151932120001767713,2018-02-22 18:39:46.900,808908993840298687
151932120002330813,2018-02-22 18:39:52.113,4572969450128338090
151932120002543818,2018-02-22 18:39:54.363,1999946629514370304
151932120002788611,2018-02-22 18:39:56.320,3538242926111670726
151932123002213835,2018-02-22 18:40:18.766,3297642052371918448
151932123003112701,2018-02-22 18:40:29.860,8889277914497994374
151932126000049637,2018-02-22 18:40:31.505,2536964680648408835
151932126000539818,2018-02-22 18:40:35.754,902474765744331001
151932126001004634,2018-02-22 18:40:40.341,7472133465167607928
151932126001602633,2018-02-22 18:40:45.570,5919157964682154635
151932126002281908,2018-02-22 18:40:49.616,2790914100238529439
151932129001138428,2018-02-22 18:41:11.187,4967684237218331968
151932129001283956,2018-02-22 18:41:11.307,934154444861993256
151932129002539454,2018-02-22 18:41:24.377,1883335435571307926
151932132000451236,2018-02-22 18:41:34.297,8248976467600365805
151932132000694128,2018-02-22 18:41:36.885,949183333080174920
151932132001751006,2018-02-22 18:41:46.502,2224348368426878639
151932132002197604,2018-02-22 18:41:51.299,6284814270597023856
151932132002914904,2018-02-22 18:41:58.453,5547053641824888697
151932135000063634,2018-02-22 18:42:00.090,2734989440059634645
151932135000818316,2018-02-22 18:42:06.376,5324022442675224485
151932135003062906,2018-02-22 18:42:28.104,7964573184378016766
151932138000645041,2018-02-22 18:42:34.126,6744886445848150530
151932138000791815,2018-02-22 18:42:37.932,422782884618720799
151932138000776515,2018-02-22 18:42:38.076,2138218529116011160
151932138001797134,2018-02-22 18:42:47.461,3224606502624643300
151932141000182807,2018-02-22 18:43:02.483,3587156441346025940
151932141000541340,2018-02-22 18:43:04.492,9184731818982330938
151932141000985914,2018-02-22 18:43:10.108,1903814744399653462
151932141000946115,2018-02-22 18:43:11.048,1384039080133107068
151932141001350829,2018-02-22 18:43:12.449,1632310863682244468
